Anio,Mes,NDVI,NDWI_agua,NDWI_veg,LST,Lluvia_mm,SPI_3,NRH,NRHF
2024,4,"0,5680265547","-0,141288625","-0,4387973152","32,58695166","43,24304648","0,0665151362",2,3
2024,5,"0,4062341908","-0,2161527869","-0,3189379952","30,36894609","23,34063035","-2,36813837",3,1
2024,6,"0,5003859193","0,07359066926","-0,001029336078","26,90754053","204,9303159","-0,9818190294",1,0
2024,7,"0,6911568947","0,2157955015","-0,2988769872","25,09763972","136,4080886","-0,3468296482",0,0
2024,8,"0,7031446897","0,2948432946","-0,2523578478","29,30227424","97,60225587","0,5600681303",0,0
2024,9,"0,7286239702","0,3632446749","-0,2486063482","25,74217364","183,2803664","0,2583763134",0,1
2024,10,"0,5745237579","0,1145291203","-0,1674678095","27,93505216","81,05025775","-0,6890222831",1,0
2024,11,"0,6612158922","0,2591033363","-0,1341515447","19,45332424","130,2131074","0,134316353",0,0
2025,1,"0,7518361197","0,4431124267","-0,2326119614","21,17485491","20,75189685","2,130404558",0,0
2025,2,"0,6901089286","0,4400454464","-0,2115292036","24,15438597","11,44821339","2,195657793",0,0
2025,3,"0,6578274522","0,3953453651","-0,3013503424","22,9626782","8,989553894","1,070541558",0,1
2025,4,"0,6083493876","-0,05355645008","-0,2999464622","26,99059715","28,98546162","-0,3839511622",1,3
2025,5,"0,5918492212","-0,07274646626","-0,4154340128","33,37007226","53,41644807","-1,896584301",3,1
2025,6,"0,5947180649","-0,1031947151","-0,3364271982","13,83986705","177,8512259","-1,144096389",1,0
2025,7,"0,6803686422","0,1979678404","-0,3467079847","29,64676242","89,31020338","-0,8369036938",0,1
2025,8,"0,6748328403","-0,01749463054","-0,3793058527","28,05845614","92,36987733","-0,1186708112",1,1
2025,9,"0,6497996602","0,2785417724","-0,3737363075","18,97868639","249,1158287","0,3669612562",1,0
2025,10,"0,6604177363","0,1970670214","-0,2664008849","25,35054752","262,8624114","1,075843421",0,0
2025,11,"0,7208314795","0,3861488779","-0,2051559999","24,35971654","51,19983228","1,390456969",0,0
